name,type,customers,customers__002,customers__003,nationality,mass,manufacturer,reused,dragon__capsule,dragon__mass_returned_kg,dragon__mass_returned_lbs,dragon__flight_time_sec,dragon__manifest,dragon__water_landing,dragon__land_landing,launch,mass_kg,orbit,reference_system,regime,longitude,semi_major_axis_km,eccentricity,periapsis_km,apoapsis_km,inclination_deg,period_min,lifespan_years,epoch,mean_motion,raan,arg_of_pericenter,mean_anomaly,id,norad_ids__-,norad_ids
SXM-7,Satellite,SiriusXM,,,United States,15432,SSL,FALSE,null,null,null,null,null,null,null,5eb87d4bffd86e000604b38c,7000,GTO,geocentric,geostationary,-85.15,42163.996,0.0001176,35780.903,35790.82,0.0188,1436.059,15,2021-01-13T08:17:45.000Z,1.00274407,344.0134,67.0808,65.9076,5eb0e4d2b6c3bb0006eeb25d,47240,
GPS III SV04 (Sacagawea),Satellite,United States Space Force,,,United States,8115,Lockheed Martin,FALSE,null,null,null,null,null,null,null,5eb87d4cffd86e000604b38d,3681,MEO,geocentric,semi-synchronous,null,26561.008,0.0000601,20181.276,20184.469,54.942,718.003,15,2021-01-10T21:58:49.000Z,2.00556125,291.2604,200.6422,159.3897,5eb0e4d2b6c3bb0006eeb25e,46826,
Turksat 5A,Satellite,Turksat,,,Turkey,7716,Airbus Defence and Space,FALSE,null,null,null,null,null,null,null,5eb87d4fffd86e000604b393,3500,GTO,geocentric,geostationary,31,34151.774,0.7981639,514.925,55032.352,17.4719,1046.838,15,2021-01-12T22:08:06.000Z,1.37557052,332.0015,181.9195,223.5881,5eb0e4d3b6c3bb0006eeb264,47306,
Starlink-9,Satellite,SpaceX,,,United States,33246,SpaceX,FALSE,null,null,null,null,null,null,null,5ed9819a1f30554030d45c29,15079,VLEO,geocentric,very-low-earth,null,6526.082,0.0028054,129.639,166.255,53.0001,87.445,null,2020-07-14T14:23:37.000Z,16.46735707,319.7129,181.2741,293.9291,5ed9858b1f30554030d45c3e,,45657
Starlink 10,Satellite,SpaceX,,,United States,33951,SpaceX,FALSE,null,null,null,null,null,null,null,5ed981d91f30554030d45c2a,15400,VLEO,geocentric,very-low-earth,null,6927.845,0.0001347,548.777,550.644,53.0019,95.643,null,2021-01-13T10:22:27.000Z,15.05585516,41.9025,79.6055,280.5085,5ed9859f1f30554030d45c3f,,45730
BlackSky Global 5-6,Satellite,BlackSky Global,,,United States,247,BlackSky Global,FALSE,null,null,null,null,null,null,null,5ed9819a1f30554030d45c29,112,SSO,geocentric,sun-synchronous,null,null,null,null,null,null,null,3,null,null,null,null,null,5ee522e32f1f3d474c758123,,
Starlink-11,Satellite,SpaceX,,,United States,33951,SpaceX,FALSE,null,null,null,null,null,null,null,5ef6a1e90059c33cee4a828a,15400,VLEO,geocentric,very-low-earth,null,6819.864,0.0001341,440.814,442.643,53.0985,93.416,null,2021-01-13T06:00:00.000Z,15.41484504,139.6429,62.8164,32.0083,5ef6a4600059c33cee4a829e,,46325
Starlink-12,Satellite,SpaceX,,,United States,33951,SpaceX,FALSE,null,null,null,null,null,null,null,5ef6a2090059c33cee4a828b,15400,VLEO,geocentric,very-low-earth,null,6927.871,0.0002273,548.161,551.31,53.0015,95.644,null,2021-01-13T06:00:00.000Z,15.05577308,342.7302,60.197,161.4911,5ef6a48e0059c33cee4a829f,,46532
Starlink-13,Satellite,SpaceX,,,United States,33951,SpaceX,FALSE,null,null,null,null,null,null,null,5ef6a2bf0059c33cee4a828c,15400,VLEO,geocentric,very-low-earth,null,6575.454,0.0011864,189.518,205.12,53.0515,88.439,null,2020-10-24T20:24:51.000Z,16.28223676,77.8706,337.4012,22.6738,5ef6a4d50059c33cee4a82a1,,46670
Starlink-14,Satellite,SpaceX,,,United States,33951,SpaceX,FALSE,null,null,null,null,null,null,null,5ef6a2e70059c33cee4a8293,15400,VLEO,geocentric,very-low-earth,null,6881.106,0.0001592,501.875,504.066,53.0542,94.677,null,2021-01-13T12:00:00.000Z,15.20951548,126.9471,56.1727,147.4205,5ef6a4ea0059c33cee4a82a2,,46739
